Reference,Clause,Description,Initial Assessment Points,Findings,Status
A.7.9,Security of assets off-premises,"Annex A A.7.9: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are off-premises assets authorized/tracked?,,
A.7.9,Security of assets off-premises,"Annex A A.7.9: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Is encryption/secure transport enforced?,,
A.7.9,Security of assets off-premises,"Annex A A.7.9: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are losses reported/investigated?,,
A.7.10,Storage media,"Annex A A.7.10: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Is media use authorized/encrypted/inventoried?,,
A.7.10,Storage media,"Annex A A.7.10: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. How is media transported/stored securely?,,
A.7.10,Storage media,"Annex A A.7.10: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are sanitization methods verified?,,
A.7.11,Supporting utilities,"Annex A A.7.11: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are utility capacities/redundancies documented?,,
A.7.11,Supporting utilities,"Annex A A.7.11: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are UPS/generators tested?,,
A.7.11,Supporting utilities,"Annex A A.7.11: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are failures tracked and reviewed?,,
A.7.12,Cabling security,"Annex A A.7.12: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are cabling routes protected and documented?,,
A.7.12,Cabling security,"Annex A A.7.12: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are frames/closets secured?,,
A.7.12,Cabling security,"Annex A A.7.12: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are inspections conducted for damage/interception?,,
A.7.13,Equipment maintenance,"Annex A A.7.13: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.",1. Is maintenance scheduled/recorded?,,
A.7.13,Equipment maintenance,"Annex A A.7.13: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.",2. Are post-maintenance checks documented?,,
A.7.13,Equipment maintenance,"Annex A A.7.13: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.",3. Are third-party engineers vetted/supervised?,,
A.7.14,Secure disposal or re-use of equipment,"Annex A A.7.14: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.",1. Are sanitization/destruction methods approved?,,
A.7.14,Secure disposal or re-use of equipment,"Annex A A.7.14: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.",2. Is disposal verified with certificates?,,
A.7.14,Secure disposal or re-use of equipment,"Annex A A.7.14: Protect physical premises and assets with layered controls (perimeter, entry controls, secure areas), equipment security, and environmental protections. Manage visitor access, clear desk/screen, and secure disposal of media and equipment.",3. Are residual data risks tested?,,
A.8,Technological Controls,"Annex A A.8: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",–,,
A.8.1,User endpoint devices,"Annex A A.8.1: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are endpoint baselines defined/enforced?,,
A.8.1,User endpoint devices,"Annex A A.8.1: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. How is remote device posture monitored?,,
A.8.1,User endpoint devices,"Annex A A.8.1: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are baseline exceptions time-limited/approved?,,
A.8.2,Privileged access rights,"Annex A A.8.2: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",1. How are privileged accounts provisioned/monitored?,,
A.8.2,Privileged access rights,"Annex A A.8.2: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",2. Is PAM or JIT elevation used?,,
A.8.2,Privileged access rights,"Annex A A.8.2: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",3. Are privileged sessions recorded?,,
A.8.3,Information access restriction,"Annex A A.8.3: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",1. Are access restrictions tied to classification/roles?,,
A.8.3,Information access restriction,"Annex A A.8.3: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",2. How are entitlements validated after changes?,,
A.8.3,Information access restriction,"Annex A A.8.3: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",3. Are emergency paths controlled/logged?,,
A.8.4,Access to source code,"Annex A A.8.4: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",1. Who can access source code and with what approvals?,,
A.8.4,Access to source code,"Annex A A.8.4: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",2. Are code changes peer-reviewed and traceable?,,
A.8.4,Access to source code,"Annex A A.8.4: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",3. How are secrets prevented in repos?,,
A.8.5,Secure authentication,"Annex A A.8.5: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",1. Where is MFA enforced and which factors?,,
A.8.5,Secure authentication,"Annex A A.8.5: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",2. Are flows phishing-resistant and secure?,,
A.8.5,Secure authentication,"Annex A A.8.5: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",3. How is account recovery protected?,,
A.8.6,Capacity management,"Annex A A.8.6: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are capacity thresholds/alerts defined?,,
A.8.6,Capacity management,"Annex A A.8.6: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are forecasts used for scaling?,,
A.8.6,Capacity management,"Annex A A.8.6: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Any incidents due to capacity shortfalls?,,
A.8.7,Protection against malware,"Annex A A.8.7: Deploy and maintain anti‑malware defenses with timely updates, real‑time protection, and detection across endpoints, email, and servers. Harden configurations and conduct user awareness to reduce infection risk.",1. Are anti-malware layers deployed comprehensively?,,
A.8.7,Protection against malware,"Annex A A.8.7: Deploy and maintain anti‑malware defenses with timely updates, real‑time protection, and detection across endpoints, email, and servers. Harden configurations and conduct user awareness to reduce infection risk.",2. Are detections investigated/remediated?,,
A.8.7,Protection against malware,"Annex A A.8.7: Deploy and maintain anti‑malware defenses with timely updates, real‑time protection, and detection across endpoints, email, and servers. Harden configurations and conduct user awareness to reduce infection risk.",3. Are signatures/engines current and tested?,,
A.8.8,Management of technical vulnerabilities,"Annex A A.8.8: Implement vulnerability management: identification, assessment, prioritization, remediation (patching/config changes), and verification. Track SLAs by risk criticality, include third‑party components, and retain evidence of closure.",1. Are vulnerability scans scheduled and scoped?,,
A.8.8,Management of technical vulnerabilities,"Annex A A.8.8: Implement vulnerability management: identification, assessment, prioritization, remediation (patching/config changes), and verification. Track SLAs by risk criticality, include third‑party components, and retain evidence of closure.",2. Are remediation SLAs risk-based and met?,,
A.8.8,Management of technical vulnerabilities,"Annex A A.8.8: Implement vulnerability management: identification, assessment, prioritization, remediation (patching/config changes), and verification. Track SLAs by risk criticality, include third‑party components, and retain evidence of closure.",3. How are zero-days tracked/mitigated?,,
A.8.9,Configuration management,"Annex A A.8.9: Maintain secure configuration baselines for systems, applications, and network devices. Control changes through change management, regularly review deviations, and remediate unauthorized changes.",1. Are configuration baselines approved?,,
A.8.9,Configuration management,"Annex A A.8.9: Maintain secure configuration baselines for systems, applications, and network devices. Control changes through change management, regularly review deviations, and remediate unauthorized changes.",2. Is continuous config monitoring in place?,,
A.8.9,Configuration management,"Annex A A.8.9: Maintain secure configuration baselines for systems, applications, and network devices. Control changes through change management, regularly review deviations, and remediate unauthorized changes.",3. How are deviations triaged/corrected?,,
A.8.10,Information deletion,"Annex A A.8.10: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are deletion methods defined per platform?,,
A.8.10,Information deletion,"Annex A A.8.10: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Is deletion verified with evidence?,,
A.8.10,Information deletion,"Annex A A.8.10: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are backups/cloud replicas included?,,
A.8.11,Data masking,"Annex A A.8.11: Classify and label information; apply handling rules and technical controls such as masking, tokenization, or DLP where appropriate. Ensure access aligns to classification and track handling of sensitive data in all media and locations.",1. Where is masking applied (non-prod/analytics)?,,
A.8.11,Data masking,"Annex A A.8.11: Classify and label information; apply handling rules and technical controls such as masking, tokenization, or DLP where appropriate. Ensure access aligns to classification and track handling of sensitive data in all media and locations.",2. Are rules risk-based/tested for reversibility?,,
A.8.11,Data masking,"Annex A A.8.11: Classify and label information; apply handling rules and technical controls such as masking, tokenization, or DLP where appropriate. Ensure access aligns to classification and track handling of sensitive data in all media and locations.",3. Are approvals needed for live data use?,,
A.8.12,Data leakage prevention,"Annex A A.8.12: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",1. What DLP/CASB controls exist across channels?,,
A.8.12,Data leakage prevention,"Annex A A.8.12: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",2. Are policies tuned to classification and need?,,
A.8.12,Data leakage prevention,"Annex A A.8.12: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",3. How are false positives reduced?,,
A.8.13,Information backup,"Annex A A.8.13: Define and operate backup processes meeting RPO/RTO objectives. Protect backups with encryption and access controls, perform regular restore tests, and monitor job success with retention aligned to legal/business needs.",1. Are backup schedules/retention/encryption defined?,,
A.8.13,Information backup,"Annex A A.8.13: Define and operate backup processes meeting RPO/RTO objectives. Protect backups with encryption and access controls, perform regular restore tests, and monitor job success with retention aligned to legal/business needs.",2. When was last restore test and results?,,
A.8.13,Information backup,"Annex A A.8.13: Define and operate backup processes meeting RPO/RTO objectives. Protect backups with encryption and access controls, perform regular restore tests, and monitor job success with retention aligned to legal/business needs.",3. Are backups ransomware-resistant?,,
A.8.14,Redundancy of information processing facilities,"Annex A A.8.14: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. What redundancy/failover exists?,,
A.8.14,Redundancy of information processing facilities,"Annex A A.8.14: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are failover tests conducted?,,
A.8.14,Redundancy of information processing facilities,"Annex A A.8.14: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Any SPOFs identified/mitigated?,,
A.8.15,Logging,"Annex A A.8.15: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",1. Are log sources/retention defined?,,
A.8.15,Logging,"Annex A A.8.15: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",2. How is integrity/time accuracy assured?,,
A.8.15,Logging,"Annex A A.8.15: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",3. Are logs monitored/correlated?,,
A.8.16,Monitoring activities,"Annex A A.8.16: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",1. What monitoring tools/coverage exist?,,
A.8.16,Monitoring activities,"Annex A A.8.16: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",2. Are thresholds/playbooks defined?,,
A.8.16,Monitoring activities,"Annex A A.8.16: Enable logging and security monitoring for critical systems and services. Define event types, retention, time synchronization, alerting thresholds, and responsibilities; protect logs against tampering and support investigations.",3. How are gaps/tuning needs identified?,,
A.8.17,Clock synchronisation,"Annex A A.8.17: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are systems synchronized to reliable NTP?,,
A.8.17,Clock synchronisation,"Annex A A.8.17: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Is drift monitored/alerted?,,
A.8.17,Clock synchronisation,"Annex A A.8.17: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are time services protected?,,
A.8.18,Use of privileged utility programs,"Annex A A.8.18: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",1. Which utility programs are approved/restricted?,,
A.8.18,Use of privileged utility programs,"Annex A A.8.18: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",2. How is use monitored/reviewed?,,
A.8.18,Use of privileged utility programs,"Annex A A.8.18: Implement user access management across the lifecycle: registration, provisioning, change, periodic review, removal; use strong authentication (e.g., MFA), enforce least privilege, and monitor privileged sessions with logging and alerts.",3. Are alternatives used to limit need?,,
A.8.19,Installation of software on operational systems,"Annex A A.8.19: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Is there an approval process for software installs?,,
A.8.19,Installation of software on operational systems,"Annex A A.8.19: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are packages verified/licensed?,,
A.8.19,Installation of software on operational systems,"Annex A A.8.19: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Is an allow-list enforced?,,
A.8.20,Network controls,"Annex A A.8.20: Protect networks through segmentation, secure architecture, and controls on ingress/egress traffic. Apply firewalling, IDS/IPS where appropriate, and secure remote access with strong authentication and encryption.",1. Are segmentation/filtering/encryption implemented?,,
A.8.20,Network controls,"Annex A A.8.20: Protect networks through segmentation, secure architecture, and controls on ingress/egress traffic. Apply firewalling, IDS/IPS where appropriate, and secure remote access with strong authentication and encryption.",2. Are rules reviewed periodically?,,
A.8.20,Network controls,"Annex A A.8.20: Protect networks through segmentation, secure architecture, and controls on ingress/egress traffic. Apply firewalling, IDS/IPS where appropriate, and secure remote access with strong authentication and encryption.",3. Are changes risk-assessed/tested?,,
A.8.21,Security of network services,"Annex A A.8.21: Protect networks through segmentation, secure architecture, and controls on ingress/egress traffic. Apply firewalling, IDS/IPS where appropriate, and secure remote access with strong authentication and encryption.",1. Do providers meet network service requirements?,,
A.8.21,Security of network services,"Annex A A.8.21: Protect networks through segmentation, secure architecture, and controls on ingress/egress traffic. Apply firewalling, IDS/IPS where appropriate, and secure remote access with strong authentication and encryption.",2. Are assurances reviewed regularly?,,
A.8.21,Security of network services,"Annex A A.8.21: Protect networks through segmentation, secure architecture, and controls on ingress/egress traffic. Apply firewalling, IDS/IPS where appropriate, and secure remote access with strong authentication and encryption.",3. Are provider changes risk-assessed?,,
A.8.22,Segregation in networks,"Annex A A.8.22: Apply segregation of duties to reduce the risk of error or fraud. Separate incompatible activities (e.g., development vs. production changes, approval vs. execution) and implement technical and organizational controls where strict segregation is impractical.",1. Is segmentation aligned to trust zones/sensitivity?,,
A.8.22,Segregation in networks,"Annex A A.8.22: Apply segregation of duties to reduce the risk of error or fraud. Separate incompatible activities (e.g., development vs. production changes, approval vs. execution) and implement technical and organizational controls where strict segregation is impractical.",2. Are ACLs/routing rules approved?,,
A.8.22,Segregation in networks,"Annex A A.8.22: Apply segregation of duties to reduce the risk of error or fraud. Separate incompatible activities (e.g., development vs. production changes, approval vs. execution) and implement technical and organizational controls where strict segregation is impractical.",3. Are segmentation tests performed?,,
A.8.23,Web filtering,"Annex A A.8.23: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are URL categories and lists defined?,,
A.8.23,Web filtering,"Annex A A.8.23: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Are SSL inspection/privacy addressed?,,
A.8.23,Web filtering,"Annex A A.8.23: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. How are exceptions handled/audited?,,
A.8.24,Use of cryptography,"Annex A A.8.24: Adopt a cryptographic controls policy addressing algorithm selection, key management (generation, storage, rotation, revocation), and usage scenarios. Protect data at rest, in transit, and in use where applicable; maintain key custody records and ensure compliance with legal restrictions.",1. Are crypto standards current?,,
A.8.24,Use of cryptography,"Annex A A.8.24: Adopt a cryptographic controls policy addressing algorithm selection, key management (generation, storage, rotation, revocation), and usage scenarios. Protect data at rest, in transit, and in use where applicable; maintain key custody records and ensure compliance with legal restrictions.",2. Are keys generated/stored/rotated/retired securely?,,
A.8.24,Use of cryptography,"Annex A A.8.24: Adopt a cryptographic controls policy addressing algorithm selection, key management (generation, storage, rotation, revocation), and usage scenarios. Protect data at rest, in transit, and in use where applicable; maintain key custody records and ensure compliance with legal restrictions.",3. Are implementations reviewed/tested?,,
A.8.25,Secure development lifecycle,"Annex A A.8.25: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",1. Are SDLC security gates defined?,,
A.8.25,Secure development lifecycle,"Annex A A.8.25: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",2. Do devs receive secure coding training?,,
A.8.25,Secure development lifecycle,"Annex A A.8.25: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",3. Are security defects tracked to closure?,,
A.8.26,Application security requirements,"Annex A A.8.26: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are app security requirements captured early?,,
A.8.26,Application security requirements,"Annex A A.8.26: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Do they reflect sensitivity/threat model?,,
A.8.26,Application security requirements,"Annex A A.8.26: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are NFRs reviewed at major changes?,,
A.8.27,Secure system architecture and engineering principles,"Annex A A.8.27: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",1. Are architecture/security principles documented/applied?,,
A.8.27,Secure system architecture and engineering principles,"Annex A A.8.27: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",2. Is threat modeling conducted?,,
A.8.27,Secure system architecture and engineering principles,"Annex A A.8.27: Describe the control objective, key activities to implement and operate the control, roles and evidence expected, and how effectiveness will be monitored and improved over time. Align implementation detail with the organization’s risk profile.",3. Are deviations risk-accepted?,,
A.8.28,Secure coding,"Annex A A.8.28: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",1. Which secure coding standards/tools are mandated?,,
A.8.28,Secure coding,"Annex A A.8.28: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",2. Are scans/reviews enforced in CI/CD?,,
A.8.28,Secure coding,"Annex A A.8.28: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",3. Are secrets/dependencies scanned?,,
A.8.29,Security testing in development and acceptance,"Annex A A.8.29: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",1. Are SAST/DAST/IAST/pen tests defined?,,
A.8.29,Security testing in development and acceptance,"Annex A A.8.29: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",2. Are findings retested after fixes?,,
A.8.29,Security testing in development and acceptance,"Annex A A.8.29: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",3. Is acceptance testing inclusive of security?,,
A.8.30,Outsourced development,"Annex A A.8.30: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",1. Do contracts include security/IP clauses?,,
A.8.30,Outsourced development,"Annex A A.8.30: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",2. How are supplier SDLC practices assessed?,,
A.8.30,Outsourced development,"Annex A A.8.30: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",3. Is code provenance verified?,,
A.8.31,"Separation of development, test and production environments","Annex A A.8.31: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",1. Are dev/test/prod separated?,,
A.8.31,"Separation of development, test and production environments","Annex A A.8.31: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",2. Is data movement controlled/approved?,,
A.8.31,"Separation of development, test and production environments","Annex A A.8.31: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",3. Are elevated accesses limited/logged?,,
A.8.32,Change management,"Annex A A.8.32: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",1. Is change risk-assessed with approvals/back-out plans?,,
A.8.32,Change management,"Annex A A.8.32: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",2. Are emergency changes controlled/reviewed?,,
A.8.32,Change management,"Annex A A.8.32: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",3. Is drift monitored after changes?,,
A.8.33,Test information,"Annex A A.8.33: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",1. Is test data masked/synthetic where sensitive?,,
A.8.33,Test information,"Annex A A.8.33: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",2. Who approves use of live data in test?,,
A.8.33,Test information,"Annex A A.8.33: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",3. Is test data disposed securely?,,
A.8.34,Protection of information systems during audit and testing,"Annex A A.8.34: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",1. Are audit/testing isolated from production impact?,,
A.8.34,Protection of information systems during audit and testing,"Annex A A.8.34: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",2. Are temporary tools/accounts cleaned up?,,
A.8.34,Protection of information systems during audit and testing,"Annex A A.8.34: Embed security in the system lifecycle: requirements, design reviews, secure coding, code review, security testing, and controlled change/deployment. Separate dev/test/prod and protect repositories, pipelines, and secrets.",3. Is monitoring heightened during testing?,,
