Category,Clause,Reference,Description,Audit Questions,Evidence/Artifact,Level 1 Implementation (example),Level 2 Implementation (example),Level 3 Implementation (example)
09.0 Communications & Operations Management,09.10 Monitoring,09.af Monitoring System Use,"Controls must prevent information leakage through error messages, debug information, or improper system configuration.","1. Are error messages sanitized to prevent leakage?
2. Are debug features disabled in production?
3. Are leakage incidents logged and investigated?",Applicable policy document; Implementation procedure; Sample logs/reports,Basic controls ensure error messages do not reveal sensitive information.,Error handling and logging practices follow secure coding guidelines with regular reviews.,Automated scanning tools detect and block information leakage in real time with alerts for security teams.
"10.0 Systems Acquisition, Development & Maintenance",10.01 Security Requirements of Information Systems,10.a Security Requirements Analysis and Specification,"Outsourced software development must follow organizational security policies, and providers must be monitored for compliance.","1. Are outsourced developers required to comply with policies?
2. Are contracts including security clauses?
3. Is compliance monitored and reported?",Applicable policy document; Implementation procedure; Sample logs/reports,Contracts include basic security requirements for outsourced development.,"Formal agreements include detailed clauses, and periodic audits monitor provider compliance.",Continuous monitoring and secure coding practices are enforced on outsourced providers using automated compliance tracking tools.
"10.0 Systems Acquisition, Development & Maintenance",10.02 Correct Processing in Applications,10.b Input Data Validation,Acceptance testing must verify that security requirements are met before systems are moved to production.,"1. Are security acceptance tests defined?
2. Are results documented?
3. Are systems only approved after passing tests?",Applicable policy document; Implementation procedure; Sample logs/reports,Basic acceptance tests validate system functionality before production deployment.,Security-focused acceptance criteria are integrated into testing and approved by stakeholders.,Automated acceptance testing pipelines enforce security gates and retain auditable evidence of test results.
"10.0 Systems Acquisition, Development & Maintenance",10.02 Correct Processing in Applications,10.c Control of Internal Processing,"Application service transactions must be protected to ensure confidentiality, integrity, and non-repudiation.","1. Are application transactions encrypted?
2. Are integrity and authenticity verified?
3. Are non-repudiation controls enforced?",Applicable policy document; Implementation procedure; Sample logs/reports,Transactions use basic encryption and logging mechanisms.,"Digital signatures, advanced encryption, and monitoring enforce integrity and non-repudiation.","Automated end-to-end transaction security enforces confidentiality, integrity, and non-repudiation with real-time alerts."
"10.0 Systems Acquisition, Development & Maintenance",10.02 Correct Processing in Applications,10.d Message Integrity,"Secure engineering principles must guide system design, implementation, and lifecycle management.","1. Are secure design principles documented?
2. Are they applied to system development?
3. Are principles reviewed and updated?",Applicable policy document; Implementation procedure; Sample logs/reports,Basic secure design guidelines are documented and applied to new projects.,Principles are systematically applied with periodic reviews of secure engineering practices.,Automated design validation tools and secure SDLC frameworks enforce secure engineering principles across all projects.
"10.0 Systems Acquisition, Development & Maintenance",10.02 Correct Processing in Applications,10.e Output Data Validation,"Secure environments must be established and maintained for system development, testing, and deployment activities.","1. Are secure development environments defined?
2. Are environments monitored for compliance?
3. Are controls enforced systematically?",Applicable policy document; Implementation procedure; Sample logs/reports,Development environments are defined and basic controls applied for security.,"Secure development environments are implemented with monitoring, access controls, and periodic reviews.","Integrated DevSecOps pipelines enforce secure environments, monitor compliance, and provide real-time alerts."
"10.0 Systems Acquisition, Development & Maintenance",10.03 Cryptographic Controls,10.f Policy on the Use of Cryptographic Controls,"The organization must establish an incident management policy, defining roles and responsibilities for detecting, reporting, and responding to incidents.","1. Is there a documented incident management policy?
2. Are roles and responsibilities assigned?
3. Are personnel trained on incident response?",Incident response plan; Incident register; Simulation/test results,An incident management policy is documented and shared with staff.,"Roles, responsibilities, and escalation procedures are defined, with regular training conducted.","Automated incident response platforms enforce workflows, assign responsibilities, and track incident handling in real time."
"10.0 Systems Acquisition, Development & Maintenance",10.03 Cryptographic Controls,10.g Key Management,"Incident response procedures must define detection, reporting, analysis, and escalation steps for effective response.","1. Are incident response procedures documented?
2. Are incidents logged and tracked?
3. Are response actions reviewed?",Incident response plan; Incident register; Simulation/test results,"Documented procedures guide detection, reporting, and initial response actions.",Procedures are integrated with ticketing systems for tracking and review of incidents.,"Automated SOAR platforms orchestrate incident detection, response, and escalation with real-time dashboards."
"10.0 Systems Acquisition, Development & Maintenance",10.04 Security of System Files,10.h Control of Operational Software,The organization must test incident response procedures regularly to validate effectiveness and train personnel.,"1. Are incident response procedures tested?
2. Are lessons learned documented?
3. Are tests repeated periodically?",Incident response plan; Incident register; Simulation/test results,Tabletop exercises are conducted occasionally to test response procedures.,Simulations and structured exercises validate response effectiveness and document lessons learned.,Automated red team exercises and continuous testing validate response readiness with evidence retained.
"10.0 Systems Acquisition, Development & Maintenance",10.04 Security of System Files,10.i Protection of System Test Data,"The organization must learn from incidents and update policies, controls, and training to prevent recurrence.","1. Are lessons from incidents documented?
2. Are improvements applied to controls and processes?
3. Are updates tracked and reviewed?",Training policy; Completion records; Assessment results,Lessons are discussed informally after major incidents.,Structured post-incident reviews identify improvements and feed updates into processes and policies.,"Automated feedback loops update controls, training, and threat models based on incident lessons."
"10.0 Systems Acquisition, Development & Maintenance",10.04 Security of System Files,10.j Access Control to Program Source Code,"Evidence must be collected, preserved, and handled according to legal and regulatory requirements during incident investigations.","1. Are procedures defined for evidence collection?
2. Is evidence integrity preserved?
3. Are chain-of-custody records maintained?",Access control policy; User registration/de-registration logs; Privileged access request forms; Access review reports,Basic guidelines exist for evidence collection during investigations.,Formal evidence collection procedures preserve integrity and chain-of-custody records.,"Automated forensic tools enforce evidence integrity and chain of custody, with legal admissibility ensured."
"10.0 Systems Acquisition, Development & Maintenance",10.05 Security in Development and Support Processes,10.k Change Control Procedures,An information security continuity policy must define requirements for resilience and recovery from disruptions.,"1. Is there a documented security continuity policy?
2. Are recovery objectives defined?
3. Is the policy reviewed regularly?",Backup logs; BCP/DR plan; Restore test reports; BIA reports,A continuity policy addresses security resilience with basic recovery objectives.,Recovery objectives and controls are defined and reviewed periodically by leadership.,"Automated continuity planning tools track policies, test results, and improvements."
"10.0 Systems Acquisition, Development & Maintenance",10.05 Security in Development and Support Processes,10.l Technical Review of Applications after Operating System Changes,Business continuity planning must be supported by risk assessments to identify threats and vulnerabilities.,"1. Are business continuity risks assessed?
2. Are results documented?
3. Are plans updated accordingly?",Backup logs; BCP/DR plan; Restore test reports; BIA reports,Continuity risks are assessed manually and documented.,Formal risk assessments inform continuity planning with updates integrated into business processes.,Automated risk engines continuously monitor threats and update business continuity plans.
"10.0 Systems Acquisition, Development & Maintenance",10.06 Technical Vulnerability Management,10.m Technical Vulnerability Management,"Continuity plans must be developed, implemented, and tested to ensure recovery from disruptions.","1. Are continuity plans documented and approved?
2. Are plans tested?
3. Are test results reviewed?",Backup logs; BCP/DR plan; Restore test reports; BIA reports,"Continuity plans are documented and stored, with occasional tests conducted.","Plans are regularly tested, with results reviewed and improvements tracked.",Automated recovery orchestration tools execute continuity plans with test evidence and dashboards.
11.0 Information Security Incident Management,11.01 Incident Reporting,11.a Reporting Information Security Events,A structured framework must guide the development and integration of continuity plans across the organization.,"1. Is a framework defined for continuity planning?
2. Are plans consistent across units?
3. Is governance established?",Backup logs; BCP/DR plan; Restore test reports; BIA reports,Basic framework aligns continuity planning efforts across departments.,Formal governance structures ensure consistency and oversight of continuity plans.,"Enterprise continuity frameworks with automation ensure consistency, governance, and continuous improvement."
11.0 Information Security Incident Management,11.01 Incident Reporting,11.b Reporting Security Weaknesses,"Continuity plans must be tested, maintained, and reassessed regularly to ensure effectiveness.","1. Are continuity plans tested regularly?
2. Are updates applied after changes?
3. Is maintenance documented?",Backup logs; BCP/DR plan; Restore test reports; BIA reports,Continuity plans are tested occasionally with lessons incorporated.,Plans are tested regularly with structured updates and reassessments.,Automated testing and maintenance workflows ensure continuity plans remain current and effective.
11.0 Information Security Incident Management,11.02 Incident Management & Improvements,11.c Responsibilities and Procedures,"The organization must ensure compliance with legal, regulatory, and contractual requirements related to information security.","1. Are applicable legal requirements identified?
2. Is compliance monitored?
3. Are evidence records maintained?",Applicable policy document; Implementation procedure; Sample logs/reports,"Legal requirements are documented, and compliance is reviewed periodically.","Compliance is monitored systematically, and evidence is stored for audits.",Automated compliance platforms continuously track requirements and generate audit-ready evidence.
11.0 Information Security Incident Management,11.02 Incident Management & Improvements,11.d Learning from Information Security Incidents,The organization must protect intellectual property rights and comply with licensing agreements.,"1. Are intellectual property rights safeguarded?
2. Are license terms followed?
3. Are violations monitored?",Incident response plan; Incident register; Simulation/test results,Basic controls safeguard intellectual property and licensing compliance.,Policies and reviews enforce compliance with IP rights and license agreements.,Automated license management and monitoring tools prevent violations and track compliance.
11.0 Information Security Incident Management,11.02 Incident Management & Improvements,11.e Collection of Evidence,"Organizational records must be protected against loss, unauthorized access, and destruction.","1. Are record protection policies defined?
2. Are controls applied consistently?
3. Are records retained securely?",Applicable policy document; Implementation procedure; Sample logs/reports,Policies define protections for critical organizational records.,Records are secured with access controls and reviewed periodically for compliance.,"Automated records management systems enforce protection, retention, and provide audit trails."
12.0 Business Continuity Management,12.01 Information Security & BCM,12.a Including Information Security in the Business Continuity Management Process,Personal and sensitive data must be protected in line with privacy laws and organizational requirements.,"1. Are privacy requirements documented?
2. Are data protection measures applied?
3. Is compliance reviewed regularly?",Backup logs; BCP/DR plan; Restore test reports; BIA reports,"Privacy requirements are documented, and protections applied manually.",Controls such as encryption and access restrictions enforce privacy protections systematically.,Automated privacy compliance solutions enforce protections and monitor continuously for violations.
12.0 Business Continuity Management,12.01 Information Security & BCM,12.b Business Continuity and Risk Assessment,"Controls must prevent misuse of systems and facilities, ensuring staff use resources appropriately.","1. Are acceptable use policies enforced?
2. Are misuse incidents logged and reviewed?
3. Are monitoring tools deployed?",Backup logs; BCP/DR plan; Restore test reports; BIA reports,Acceptable use policies are documented and communicated to staff.,Monitoring tools log potential misuse and incidents are reviewed systematically.,Advanced monitoring and anomaly detection systems track misuse and automate enforcement actions.
12.0 Business Continuity Management,12.01 Information Security & BCM,12.c Developing and Implementing Continuity Plans,The organization must ensure compliance with internal security policies and standards through monitoring and review.,"1. Is compliance with policies reviewed?
2. Are exceptions documented?
3. Are results communicated to management?",Backup logs; BCP/DR plan; Restore test reports; BIA reports,Compliance is reviewed periodically by internal audits.,"Exceptions are documented, approved, and tracked with remediation plans.",Automated tools monitor compliance continuously and generate dashboards for leadership.
12.0 Business Continuity Management,12.01 Information Security & BCM,12.d Business Continuity Planning Framework,The organization must perform technical compliance checks to validate adherence to established security baselines.,"1. Are technical compliance checks defined and performed?
2. Are results logged and tracked?
3. Are deviations remediated promptly?",Backup logs; BCP/DR plan; Restore test reports; BIA reports,Manual compliance checks are conducted periodically against baseline configurations.,Automated compliance tools scan systems regularly and remediation is tracked through ticketing systems.,"Continuous compliance monitoring integrates with SIEM/GRC platforms, ensuring real-time detection and remediation of deviations."
12.0 Business Continuity Management,12.01 Information Security & BCM,"12.e Testing, Maintaining and Re-assessing Business Continuity Plans","Audit controls must ensure the confidentiality, integrity, and availability of audit logs and data.","1. Are audit logs protected from tampering?
2. Is access to logs restricted?
3. Are logs reviewed periodically?",Backup logs; BCP/DR plan; Restore test reports; BIA reports,Audit logs are retained securely and access is restricted to administrators.,"Audit records are encrypted, backed up, and reviewed regularly by compliance teams.","Centralized SIEM solutions enforce log integrity, provide tamper-evident features, and generate automated alerts."
13.0 Privacy Practices,13.01 Transparency,13.a Privacy Policy,Audit tools must be protected from misuse and unauthorized modification.,"1. Are audit tools access-controlled?
2. Are changes to tools logged?
3. Are protections enforced against tampering?",Applicable policy document; Implementation procedure; Sample logs/reports,Access to audit tools is restricted and monitored manually.,Audit tool usage is logged and reviewed by administrators regularly.,Automated monitoring continuously enforces restrictions and provides alerts for anomalies in audit tool usage.
13.0 Privacy Practices,13.01 Transparency,13.b Notice to Individuals,"Asset inventories must be maintained, accurate, and updated to reflect all information processing assets.","1. Is there a centralized asset inventory?
2. Are assets reviewed regularly?
3. Are owners assigned?",Applicable policy document; Implementation procedure; Sample logs/reports,An asset register is maintained manually and updated periodically.,Centralized asset inventories are validated through periodic audits and ownership reviews.,Automated asset discovery tools maintain real-time inventories integrated with CMDB and compliance systems.
13.0 Privacy Practices,13.01 Transparency,13.c Availability of Privacy Policy,Each asset must have a designated owner responsible for its lifecycle and protection.,"1. Are asset owners formally assigned?
2. Are ownership responsibilities documented?
3. Are assignments reviewed?",Applicable policy document; Implementation procedure; Sample logs/reports,Ownership of key assets is documented and communicated to responsible staff.,Roles and responsibilities for asset ownership are enforced with regular reviews.,Asset management platforms automate ownership assignments and track accountability in real-time dashboards.
13.0 Privacy Practices,13.02 Individual Participation,13.d Individual Participation,"Acceptable use of assets must be defined, documented, and communicated to all personnel.","1. Is there an acceptable use policy?
2. Do staff acknowledge compliance?
3. Is adherence monitored?",Applicable policy document; Implementation procedure; Sample logs/reports,Acceptable use policies are documented and acknowledged during onboarding.,"Regular training reinforces acceptable use, and compliance is reviewed by supervisors.",Automated monitoring tools detect policy violations and enforce acceptable use requirements continuously.
13.0 Privacy Practices,13.02 Individual Participation,13.e Access to Personal Data,Guidelines for information classification must ensure data is handled according to sensitivity and criticality.,"1. Are classification guidelines documented?
2. Are classifications applied consistently?
3. Are guidelines reviewed periodically?",Applicable policy document; Implementation procedure; Sample logs/reports,Basic guidelines categorize sensitive data manually.,Formal classification frameworks are enforced across systems with periodic reviews.,"Automated classification tools apply sensitivity labels, enforce handling rules, and generate compliance reports."
13.0 Privacy Practices,13.02 Individual Participation,13.f Correction of Personal Data,Procedures must govern labeling and handling of classified information to ensure consistent protection.,"1. Are labeling procedures documented?
2. Are labels applied consistently?
3. Is compliance monitored?",Applicable policy document; Implementation procedure; Sample logs/reports,Labeling and handling procedures are communicated to staff and applied manually.,Consistent enforcement is monitored by managers with periodic reviews.,Automated labeling and handling tools enforce consistency across systems with monitoring dashboards.
13.0 Privacy Practices,13.03 Purpose Specification,13.g Purpose Specification,Secure areas must be defined and protected with appropriate physical access controls.,"1. Is there a secure areas policy?
2. Are controls implemented?
3. Is compliance monitored?",Access control policy; User registration/de-registration logs; Privileged access request forms; Access review reports,"Secure areas are identified, and basic access restrictions applied.","Locks, guards, and CCTV protect secure areas, with compliance reviewed periodically.",Biometric access systems and continuous surveillance enforce secure area protections with automated alerts.
13.0 Privacy Practices,13.03 Purpose Specification,13.h Specification of Intended Use,Physical entry controls must restrict access to secure areas to authorized individuals only.,"1. Are entry controls in place?
2. Are visitor logs maintained?
3. Is access reviewed?",Applicable policy document; Implementation procedure; Sample logs/reports,Visitor access is logged manually and basic controls restrict entry.,Electronic access control systems enforce restrictions and visitor logs are reviewed periodically.,Biometric and smart card systems provide continuous monitoring and generate automated alerts for violations.
13.0 Privacy Practices,13.04 Data Minimization,13.i Data Minimization,"Offices, rooms, and facilities must be secured against unauthorized access, theft, and damage.","1. Are facilities secured?
2. Are protections documented?
3. Are reviews performed?",Applicable policy document; Implementation procedure; Sample logs/reports,Critical facilities are locked and physical protections documented.,Facilities security controls such as CCTV and guards are reviewed regularly.,Advanced surveillance and intrusion detection systems provide real-time monitoring of facility security.
13.0 Privacy Practices,13.04 Data Minimization,13.j Retention Limitation,"The organization must protect against external and environmental threats such as fire, flood, and power failure.","1. Are safeguards implemented?
2. Are systems tested?
3. Are incidents recorded?",Applicable policy document; Implementation procedure; Sample logs/reports,Fire extinguishers and UPS provide basic protections.,"Suppression systems, generators, and sensors protect against environmental risks.",Automated building systems monitor threats continuously and trigger protective responses.
13.0 Privacy Practices,13.05 Use Limitation,13.k Use Limitation,Rules must govern personnel working in secure areas to ensure security is not compromised.,"1. Are secure area rules documented?
2. Are staff trained?
3. Is compliance monitored?",Applicable policy document; Implementation procedure; Sample logs/reports,Rules for secure area work are communicated to staff.,Training and supervisor oversight enforce compliance with secure area requirements.,Automated access controls and CCTV enforce compliance with secure area rules continuously.
13.0 Privacy Practices,13.05 Use Limitation,13.l Disclosure Limitation,"Public access, delivery, and loading areas must be controlled to prevent unauthorized entry into secure facilities.","1. Are public access areas segregated?
2. Are deliveries monitored?
3. Are logs maintained?",Applicable policy document; Implementation procedure; Sample logs/reports,"Deliveries are logged manually, and areas are physically segregated.",CCTV and controlled entry points enforce monitoring of deliveries.,Automated visitor management systems track deliveries and generate alerts for unauthorized access attempts.
13.0 Privacy Practices,13.06 Data Quality & Integrity,13.m Data Quality,Equipment must be sited securely and protected from physical and environmental risks.,"1. Is equipment sited securely?
2. Are protections documented?
3. Are reviews conducted?",Applicable policy document; Implementation procedure; Sample logs/reports,Equipment is positioned in secure areas with basic protections.,"Environmental controls and restricted access protect equipment, with periodic reviews.",Automated monitoring systems track environmental conditions and alert for risks.
13.0 Privacy Practices,13.06 Data Quality & Integrity,13.n Data Integrity,"Supporting utilities such as electricity, water, and communications must be protected to ensure continuity.","1. Are utilities protected?
2. Are redundancies in place?
3. Are utilities tested?",Backup logs; BCP/DR plan; Restore test reports; BIA reports,UPS and surge protection safeguard utilities.,"Generators, redundant communication links, and regular testing provide resilience.",Automated monitoring and predictive analysis ensure utility availability and trigger failover systems.
13.0 Privacy Practices,13.06 Data Quality & Integrity,13.o Accuracy of Personal Data,"Cabling must be secured to prevent interception, damage, or tampering.","1. Are cable routes secured?
2. Are conduits or protections in place?
3. Are inspections conducted?",Applicable policy document; Implementation procedure; Sample logs/reports,Cable routes are documented and physically protected.,"Conduits and inspections protect cabling integrity, with periodic reviews.",Automated monitoring tools detect and alert for tampering or cable damage.
13.0 Privacy Practices,13.07 Accountability & Auditing,13.p Accountability,Equipment must be maintained securely and properly to ensure continued availability.,"1. Is maintenance scheduled?
2. Are records kept?
3. Are secure practices followed?",Applicable policy document; Implementation procedure; Sample logs/reports,Maintenance schedules are documented and tracked manually.,Centralized tracking systems enforce secure maintenance practices.,"Automated systems schedule and log maintenance activities, with audit-ready evidence retained."
13.0 Privacy Practices,13.07 Accountability & Auditing,13.q Auditing,"Equipment used off-premises must be protected against loss, theft, or unauthorized access.","1. Are off-premises security requirements defined?
2. Are protections like encryption applied?
3. Is compliance monitored?",Applicable policy document; Implementation procedure; Sample logs/reports,Policies require users to secure off-premises equipment physically and logically.,"Encryption, protective cases, and compliance checks enforce security requirements.","MDM solutions enforce encryption, remote wipe, and continuous monitoring of off-premises devices."
13.0 Privacy Practices,13.07 Accountability & Auditing,13.r Privacy Impact Assessment,Equipment must be securely disposed of or sanitized before reuse to prevent unauthorized disclosure of information.,"1. Are disposal procedures defined?
2. Is data wiped or destroyed?
3. Are records maintained?",Applicable policy document; Implementation procedure; Sample logs/reports,Data is manually wiped before equipment disposal.,Certified destruction processes are applied and documented.,Automated sanitization tools and certified vendors ensure secure disposal with audit certificates.
13.0 Privacy Practices,13.07 Accountability & Auditing,13.s Privacy Incident Response,Procedures must control the removal of property to prevent unauthorized loss of assets or data.,"1. Are removal procedures documented?
2. Is approval required?
3. Are removals logged?",Incident response plan; Incident register; Simulation/test results,Approvals and logs are maintained manually for property removal.,Formal approvals and periodic reviews validate compliance with removal procedures.,"Automated workflows enforce property removal approvals, generate logs, and provide audit-ready evidence."
13.0 Privacy Practices,13.07 Accountability & Auditing,13.t Privacy Training,Operating procedures must be documented and maintained to ensure consistency of system operations.,"1. Are operating procedures documented?
2. Are they updated regularly?
3. Are staff trained?",Training policy; Completion records; Assessment results,Core procedures are documented and stored in a shared location.,"Procedures are version-controlled, approved, and updated periodically with training for staff.","Workflow systems enforce procedure distribution, acknowledgment, and compliance tracking."
13.0 Privacy Practices,13.07 Accountability & Auditing,13.u Oversight,Changes to systems must follow a controlled process to minimize operational and security risks.,"1. Is there a change management process?
2. Are risks assessed?
3. Are changes approved and tested?",Applicable policy document; Implementation procedure; Sample logs/reports,Change requests are documented manually with approval steps.,"Formal change management processes enforce risk assessments, testing, and approvals.",Automated ITSM workflows manage change processes with integrated testing and audit evidence.
