Reference,Description,Initial Assessment Points,Evidence/Artifact,Clause,Findings,Status
DSP-19.1,"Define and implement processes, procedures and technical measures to specify and document the physical locations of data, including any locations in which data is processed or backed up.","1. Are processes, procedures, and technical measures defined and implemented to specify and document physical data locations, including locales where data is processed or backed up?
2. Verify data classification and handling standards cover the full privacy & security lifecycle (collection, use, storage, sharing, retention, deletion).
3. Confirm lawful basis documentation and purpose limitation for processing; DPIA/PIA performed where required.
4. Check data minimization, accuracy, retention schedules, and secure disposal with evidence.
5. Verify controls for data in transit/at rest (encryption, access control, monitoring) and data sharing agreements with third parties.
6. Confirm mechanisms for data subject rights and incident response involving personal data.",Data security policy (at rest/in transit); Encryption standards and key requirements; Access control standards; Data leakage prevention (DLP) configs/reports; Relevant policy/standard document with version history; Encryption/crypto configuration evidence and key lifecycle records,"Data
Security &
Privacy ",,
GRC-01.1,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for an information governance program, which is sponsored by the leadership of the organization. Review and update the policies and procedures at least annually.","1. Are information governance program policies and procedures sponsored by organizational leadership established, documented, approved, communicated, applied, evaluated, and maintained?
2. Verify governance framework, policies, and roles are defined and approved; oversight committees operate with minutes.
3. Confirm risk management methodology (identification, analysis, treatment, monitoring) and risk registers are current.
4. Check compliance obligations inventory and evidence of periodic compliance assessments.
5. Verify exception management and policy lifecycle management processes are in place and followed.",Information security governance charter; Risk management framework and risk register; Compliance obligations register; Management review minutes and KPIs; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Governance, Risk
Management, and
Compliance",,
GRC-01.2,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for an information governance program, which is sponsored by the leadership of the organization. Review and update the policies and procedures at least annually.","1. Are the policies and procedures reviewed and updated at least annually?
2. Verify governance framework, policies, and roles are defined and approved; oversight committees operate with minutes.
3. Confirm risk management methodology (identification, analysis, treatment, monitoring) and risk registers are current.
4. Check compliance obligations inventory and evidence of periodic compliance assessments.
5. Verify exception management and policy lifecycle management processes are in place and followed.",Information security governance charter; Risk management framework and risk register; Compliance obligations register; Management review minutes and KPIs; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Governance, Risk
Management, and
Compliance",,
GRC-02.1,"Establish a formal, documented, and leadership- sponsored Enterprise Risk Management (ERM) program that includes policies and procedures for identification, evaluation, ownership, treatment, and acceptance of cloud security and privacy risks.","1. Is there an established formal, documented, and leadership-sponsored enterprise risk management (ERM) program that includes policies and procedures for identification, evaluation, ownership, treatment, and acceptance of cloud security and privacy risks?
2. Verify governance framework, policies, and roles are defined and approved; oversight committees operate with minutes.
3. Confirm risk management methodology (identification, analysis, treatment, monitoring) and risk registers are current.
4. Check compliance obligations inventory and evidence of periodic compliance assessments.
5. Verify exception management and policy lifecycle management processes are in place and followed.",Information security governance charter; Risk management framework and risk register; Compliance obligations register; Management review minutes and KPIs; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Governance, Risk
Management, and
Compliance",,
GRC-03.1,"Review all relevant organizational policies and associated procedures at least annually or when a substantial change occurs within the organization. 40 © Copyright 2021, Cloud Security Alliance. All rights reserved.","1. Are all relevant organizational policies and associated procedures reviewed at least annually, or when a substantial organizational change occurs?
2. Verify governance framework, policies, and roles are defined and approved; oversight committees operate with minutes.
3. Confirm risk management methodology (identification, analysis, treatment, monitoring) and risk registers are current.
4. Check compliance obligations inventory and evidence of periodic compliance assessments.
5. Verify exception management and policy lifecycle management processes are in place and followed.",Information security governance charter; Risk management framework and risk register; Compliance obligations register; Management review minutes and KPIs; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Governance, Risk
Management, and
Compliance",,
GRC-04.1,Establish and follow an approved exception process as mandated by the governance program whenever a deviation from an established policy occurs.,"1. Is an approved exception process mandated by the governance program established and followed whenever a deviation from an established policy occurs?
2. Verify governance framework, policies, and roles are defined and approved; oversight committees operate with minutes.
3. Confirm risk management methodology (identification, analysis, treatment, monitoring) and risk registers are current.
4. Check compliance obligations inventory and evidence of periodic compliance assessments.
5. Verify exception management and policy lifecycle management processes are in place and followed.",Information security governance charter; Risk management framework and risk register; Compliance obligations register; Management review minutes and KPIs; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Governance, Risk
Management, and
Compliance",,
GRC-05.1,"Develop and implement an Information Security Program, which includes programs for all the relevant domains of the CCM.","1. Has an information security program (including programs of all relevant CCM domains) been developed and implemented?
2. Verify governance framework, policies, and roles are defined and approved; oversight committees operate with minutes.
3. Confirm risk management methodology (identification, analysis, treatment, monitoring) and risk registers are current.
4. Check compliance obligations inventory and evidence of periodic compliance assessments.
5. Verify exception management and policy lifecycle management processes are in place and followed.",Information security governance charter; Risk management framework and risk register; Compliance obligations register; Management review minutes and KPIs; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Governance, Risk
Management, and
Compliance",,
GRC-06.1,"Define and document roles and responsibilities for planning, implementing, operating, assessing, and improving governance programs.","1. Are roles and responsibilities for planning, implementing, operating, assessing, and improving governance programs defined and documented?
2. Verify governance framework, policies, and roles are defined and approved; oversight committees operate with minutes.
3. Confirm risk management methodology (identification, analysis, treatment, monitoring) and risk registers are current.
4. Check compliance obligations inventory and evidence of periodic compliance assessments.
5. Verify exception management and policy lifecycle management processes are in place and followed.",Information security governance charter; Risk management framework and risk register; Compliance obligations register; Management review minutes and KPIs; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Governance, Risk
Management, and
Compliance",,
GRC-07.1,"Identify and document all relevant standards, regulations, legal/contractual, and statutory requirements, which are applicable to your organization.","1. Are all relevant standards, regulations, legal/contractual, and statutory requirements applicable to your organization identified and documented?
2. Verify governance framework, policies, and roles are defined and approved; oversight committees operate with minutes.
3. Confirm risk management methodology (identification, analysis, treatment, monitoring) and risk registers are current.
4. Check compliance obligations inventory and evidence of periodic compliance assessments.
5. Verify exception management and policy lifecycle management processes are in place and followed.",Information security governance charter; Risk management framework and risk register; Compliance obligations register; Management review minutes and KPIs; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Governance, Risk
Management, and
Compliance",,
GRC-08.1,Establish and maintain contact with cloud-related special interest groups and other relevant entities in line with business context.,"1. Is contact established and maintained with cloud-related special interest groups and other relevant entities?
2. Verify governance framework, policies, and roles are defined and approved; oversight committees operate with minutes.
3. Confirm risk management methodology (identification, analysis, treatment, monitoring) and risk registers are current.
4. Check compliance obligations inventory and evidence of periodic compliance assessments.
5. Verify exception management and policy lifecycle management processes are in place and followed.",Information security governance charter; Risk management framework and risk register; Compliance obligations register; Management review minutes and KPIs; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Governance, Risk
Management, and
Compliance",,
HRS-01.1,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for background verification of all new employees (including but not limited to remote employees, contractors, and third parties) according to local laws, regulations, ethics, and contractual constraints and proportional to the data classification to be accessed, the business requirements, and acceptable risk. Review and update the policies and procedures at least annually.","1. Are background verification policies and procedures of all new employees (including but not limited to remote employees, contractors, and third parties) established, documented, approved, communicated, applied, evaluated, and maintained?
2. Verify pre-employment screening, background checks, and onboarding security responsibilities are defined and evidenced.
3. Confirm security awareness and role-based training schedules, completion tracking, and effectiveness evaluation.
4. Check disciplinary processes for policy violations and offboarding procedures (access revocation, asset return).",Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Human
Resources
Security",,
HRS-01.2,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for background verification of all new employees (including but not limited to remote employees, contractors, and third parties) according to local laws, regulations, ethics, and contractual constraints and proportional to the data classification to be accessed, the business requirements, and acceptable risk. Review and update the policies and procedures at least annually.","1. Are background verification policies and procedures designed according to local laws, regulations, ethics, and contractual constraints and proportional to the data classification to be accessed, business requirements, and acceptable risk?
2. Verify pre-employment screening, background checks, and onboarding security responsibilities are defined and evidenced.
3. Confirm security awareness and role-based training schedules, completion tracking, and effectiveness evaluation.
4. Check disciplinary processes for policy violations and offboarding procedures (access revocation, asset return).",Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Human
Resources
Security",,
HRS-01.3,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for background verification of all new employees (including but not limited to remote employees, contractors, and third parties) according to local laws, regulations, ethics, and contractual constraints and proportional to the data classification to be accessed, the business requirements, and acceptable risk. Review and update the policies and procedures at least annually.","1. Are background verification policies and procedures reviewed and updated at least annually?
2. Verify pre-employment screening, background checks, and onboarding security responsibilities are defined and evidenced.
3. Confirm security awareness and role-based training schedules, completion tracking, and effectiveness evaluation.
4. Check disciplinary processes for policy violations and offboarding procedures (access revocation, asset return).",Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Human
Resources
Security",,
HRS-02.1,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for defining allowances and conditions for the acceptable use of organizationally-owned or managed assets. Review and update the policies and procedures at least annually.","1. Are policies and procedures for defining allowances and conditions for the acceptable use of organizationally-owned or managed assets established, documented, approved, communicated, applied, evaluated, and maintained?
2. Verify pre-employment screening, background checks, and onboarding security responsibilities are defined and evidenced.
3. Confirm security awareness and role-based training schedules, completion tracking, and effectiveness evaluation.
4. Check disciplinary processes for policy violations and offboarding procedures (access revocation, asset return).",Relevant policy/standard document with version history,"Human
Resources
Security",,
HRS-02.2,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for defining allowances and conditions for the acceptable use of organizationally-owned or managed assets. Review and update the policies and procedures at least annually.","1. Are the policies and procedures for defining allowances and conditions for the acceptable use of organizationally-owned or managed assets reviewed and updated at least annually?
2. Verify pre-employment screening, background checks, and onboarding security responsibilities are defined and evidenced.
3. Confirm security awareness and role-based training schedules, completion tracking, and effectiveness evaluation.
4. Check disciplinary processes for policy violations and offboarding procedures (access revocation, asset return).",Relevant policy/standard document with version history,"Human
Resources
Security",,
HRS-03.1,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures that require unattended workspaces to not have openly visible confidential data. Review and update the policies and procedures at least annually. 43 © Copyright 2021, Cloud Security Alliance. All rights reserved.","1. Are policies and procedures requiring unattended workspaces to conceal confidential data established, documented, approved, communicated, applied, evaluated, and maintained?
2. Verify pre-employment screening, background checks, and onboarding security responsibilities are defined and evidenced.
3. Confirm security awareness and role-based training schedules, completion tracking, and effectiveness evaluation.
4. Check disciplinary processes for policy violations and offboarding procedures (access revocation, asset return).",Relevant policy/standard document with version history,"Human
Resources
Security",,
HRS-03.2,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures that require unattended workspaces to not have openly visible confidential data. Review and update the policies and procedures at least annually. 43 © Copyright 2021, Cloud Security Alliance. All rights reserved.","1. Are policies and procedures requiring unattended workspaces to conceal confidential data reviewed and updated at least annually?
2. Verify pre-employment screening, background checks, and onboarding security responsibilities are defined and evidenced.
3. Confirm security awareness and role-based training schedules, completion tracking, and effectiveness evaluation.
4. Check disciplinary processes for policy violations and offboarding procedures (access revocation, asset return).",Relevant policy/standard document with version history,"Human
Resources
Security",,
HRS-04.1,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures to protect information accessed, processed or stored at remote sites and locations. Review and update the policies and procedures at least annually.","1. Are policies and procedures to protect information accessed, processed, or stored at remote sites and locations established, documented, approved, communicated, applied, evaluated, and maintained?
2. Verify pre-employment screening, background checks, and onboarding security responsibilities are defined and evidenced.
3. Confirm security awareness and role-based training schedules, completion tracking, and effectiveness evaluation.
4. Check disciplinary processes for policy violations and offboarding procedures (access revocation, asset return).",Relevant policy/standard document with version history,"Human
Resources
Security",,
HRS-04.2,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures to protect information accessed, processed or stored at remote sites and locations. Review and update the policies and procedures at least annually.","1. Are policies and procedures to protect information accessed, processed, or stored at remote sites and locations reviewed and updated at least annually?
2. Verify pre-employment screening, background checks, and onboarding security responsibilities are defined and evidenced.
3. Confirm security awareness and role-based training schedules, completion tracking, and effectiveness evaluation.
4. Check disciplinary processes for policy violations and offboarding procedures (access revocation, asset return).",Relevant policy/standard document with version history,"Human
Resources
Security",,
HRS-05.1,Establish and document procedures for the return of organization-owned assets by terminated employees.,"1. Are return procedures of organizationally-owned assets by terminated employees established and documented?
2. Verify pre-employment screening, background checks, and onboarding security responsibilities are defined and evidenced.
3. Confirm security awareness and role-based training schedules, completion tracking, and effectiveness evaluation.
4. Check disciplinary processes for policy violations and offboarding procedures (access revocation, asset return).",Relevant policy/standard document with version history,"Human
Resources
Security",,
HRS-06.1,"Establish, document, and communicate to all personnel the procedures outlining the roles and responsibilities concerning changes in employment.","1. Are procedures outlining the roles and responsibilities concerning changes in employment established, documented, and communicated to all personnel?
2. Verify pre-employment screening, background checks, and onboarding security responsibilities are defined and evidenced.
3. Confirm security awareness and role-based training schedules, completion tracking, and effectiveness evaluation.
4. Check disciplinary processes for policy violations and offboarding procedures (access revocation, asset return).",Relevant policy/standard document with version history,"Human
Resources
Security",,
HRS-07.1,"Employees sign the employee agreement prior to being granted access to organizational information systems, resources and assets.","1. Are employees required to sign an employment agreement before gaining access to organizational information systems, resources, and assets?
2. Verify pre-employment screening, background checks, and onboarding security responsibilities are defined and evidenced.
3. Confirm security awareness and role-based training schedules, completion tracking, and effectiveness evaluation.
4. Check disciplinary processes for policy violations and offboarding procedures (access revocation, asset return).",Relevant policy/standard document with version history,"Human
Resources
Security",,
HRS-08.1,The organization includes within the employment agreements provisions and/or terms for adherence to established information governance and security policies.,"1. Are provisions and/or terms for adherence to established information governance and security policies included within employment agreements?
2. Verify pre-employment screening, background checks, and onboarding security responsibilities are defined and evidenced.
3. Confirm security awareness and role-based training schedules, completion tracking, and effectiveness evaluation.
4. Check disciplinary processes for policy violations and offboarding procedures (access revocation, asset return).",Relevant policy/standard document with version history,"Human
Resources
Security",,
HRS-09.1,"Document and communicate roles and responsibilities of employees, as they relate to information assets and security.","1. Are employee roles and responsibilities relating to information assets and security documented and communicated?
2. Verify pre-employment screening, background checks, and onboarding security responsibilities are defined and evidenced.
3. Confirm security awareness and role-based training schedules, completion tracking, and effectiveness evaluation.
4. Check disciplinary processes for policy violations and offboarding procedures (access revocation, asset return).",Relevant policy/standard document with version history,"Human
Resources
Security",,
HRS-10.1,"Identify, document, and review, at planned intervals, requirements for non-disclosure/confidentiality agreements reflecting the organization’ s needs for the protection of data and operational details.","1. Are requirements for non-disclosure/confidentiality agreements reflecting organizational data protection needs and operational details identified, documented, and reviewed at planned intervals?
2. Verify pre-employment screening, background checks, and onboarding security responsibilities are defined and evidenced.
3. Confirm security awareness and role-based training schedules, completion tracking, and effectiveness evaluation.
4. Check disciplinary processes for policy violations and offboarding procedures (access revocation, asset return).",Relevant policy/standard document with version history,"Human
Resources
Security",,
HRS-11.1,"Establish, document, approve, communicate, apply, evaluate and maintain a security awareness training program for all employees of the organization and provide regular training updates.","1. Is a security awareness training program for all employees of the organization established, documented, approved, communicated, applied, evaluated and maintained?
2. Verify pre-employment screening, background checks, and onboarding security responsibilities are defined and evidenced.
3. Confirm security awareness and role-based training schedules, completion tracking, and effectiveness evaluation.
4. Check disciplinary processes for policy violations and offboarding procedures (access revocation, asset return).",Relevant policy/standard document with version history,"Human
Resources
Security",,
HRS-11.2,"Establish, document, approve, communicate, apply, evaluate and maintain a security awareness training program for all employees of the organization and provide regular training updates.","1. Are regular security awareness training updates provided?
2. Verify pre-employment screening, background checks, and onboarding security responsibilities are defined and evidenced.
3. Confirm security awareness and role-based training schedules, completion tracking, and effectiveness evaluation.
4. Check disciplinary processes for policy violations and offboarding procedures (access revocation, asset return).",Relevant policy/standard document with version history,"Human
Resources
Security",,
HRS-12.1,"Provide all employees with access to sensitive organizational and personal data with appropriate security awareness training and regular updates in organizational procedures, processes, and policies relating to their professional function relative to the organization.","1. Are all employees granted access to sensitive organizational and personal data provided with appropriate security awareness training?
2. Verify pre-employment screening, background checks, and onboarding security responsibilities are defined and evidenced.
3. Confirm security awareness and role-based training schedules, completion tracking, and effectiveness evaluation.
4. Check disciplinary processes for policy violations and offboarding procedures (access revocation, asset return).",Relevant policy/standard document with version history,"Human
Resources
Security",,
HRS-12.2,"Provide all employees with access to sensitive organizational and personal data with appropriate security awareness training and regular updates in organizational procedures, processes, and policies relating to their professional function relative to the organization.","1. Are all employees granted access to sensitive organizational and personal data provided with regular updates in procedures, processes, and policies relating to their professional function?
2. Verify pre-employment screening, background checks, and onboarding security responsibilities are defined and evidenced.
3. Confirm security awareness and role-based training schedules, completion tracking, and effectiveness evaluation.
4. Check disciplinary processes for policy violations and offboarding procedures (access revocation, asset return).",Relevant policy/standard document with version history,"Human
Resources
Security",,
HRS-13.1,"Make employees aware of their roles and responsibilities for maintaining awareness and compliance with established policies and procedures and applicable legal, statutory, or regulatory compliance obligations.","1. Are employees notified of their roles and responsibilities to maintain awareness and compliance with established policies, procedures, and applicable legal, statutory, or regulatory compliance obligations?
2. Verify pre-employment screening, background checks, and onboarding security responsibilities are defined and evidenced.
3. Confirm security awareness and role-based training schedules, completion tracking, and effectiveness evaluation.
4. Check disciplinary processes for policy violations and offboarding procedures (access revocation, asset return).",Relevant policy/standard document with version history,"Human
Resources
Security",,
IAM-01.1,"Establish, document, approve, communicate, implement, apply, evaluate and maintain policies and procedures for identity and access management. Review and update the policies and procedures at least annually.","1. Are identity and access management policies and procedures established, documented, approved, communicated, implemented, applied, evaluated, and maintained?
2. Verify identity proofing and onboarding processes; unique IDs for all users and service accounts.
3. Confirm access provisioning follows least privilege and SoD; approvals and logging are evidenced.
4. Check strong authentication (MFA) for privileged and remote access; review authenticator lifecycle management.
5. Verify periodic access recertifications and timely revocation for leavers and role changes.
6. Review password/secret policies and vaulting for non-human identities.",Identity and access management policy; Provisioning/deprovisioning logs; Periodic access review evidence; MFA configuration and enforcement reports; Relevant policy/standard document with version history,"Identity & Access
Management",,
IAM-01.2,"Establish, document, approve, communicate, implement, apply, evaluate and maintain policies and procedures for identity and access management. Review and update the policies and procedures at least annually.","1. Are identity and access management policies and procedures reviewed and updated at least annually?
2. Verify identity proofing and onboarding processes; unique IDs for all users and service accounts.
3. Confirm access provisioning follows least privilege and SoD; approvals and logging are evidenced.
4. Check strong authentication (MFA) for privileged and remote access; review authenticator lifecycle management.
5. Verify periodic access recertifications and timely revocation for leavers and role changes.
6. Review password/secret policies and vaulting for non-human identities.",Identity and access management policy; Provisioning/deprovisioning logs; Periodic access review evidence; MFA configuration and enforcement reports; Relevant policy/standard document with version history,"Identity & Access
Management",,
IAM-02.1,"Establish, document, approve, communicate, implement, apply, evaluate and maintain strong password policies and procedures. Review and update the policies and procedures at least annually.","1. Are strong password policies and procedures established, documented, approved, communicated, implemented, applied, evaluated, and maintained?
2. Verify identity proofing and onboarding processes; unique IDs for all users and service accounts.
3. Confirm access provisioning follows least privilege and SoD; approvals and logging are evidenced.
4. Check strong authentication (MFA) for privileged and remote access; review authenticator lifecycle management.
5. Verify periodic access recertifications and timely revocation for leavers and role changes.
6. Review password/secret policies and vaulting for non-human identities.",Identity and access management policy; Provisioning/deprovisioning logs; Periodic access review evidence; MFA configuration and enforcement reports; Relevant policy/standard document with version history,"Identity & Access
Management",,
IAM-02.2,"Establish, document, approve, communicate, implement, apply, evaluate and maintain strong password policies and procedures. Review and update the policies and procedures at least annually.","1. Are strong password policies and procedures reviewed and updated at least annually?
2. Verify identity proofing and onboarding processes; unique IDs for all users and service accounts.
3. Confirm access provisioning follows least privilege and SoD; approvals and logging are evidenced.
4. Check strong authentication (MFA) for privileged and remote access; review authenticator lifecycle management.
5. Verify periodic access recertifications and timely revocation for leavers and role changes.
6. Review password/secret policies and vaulting for non-human identities.",Identity and access management policy; Provisioning/deprovisioning logs; Periodic access review evidence; MFA configuration and enforcement reports; Relevant policy/standard document with version history,"Identity & Access
Management",,
IAM-03.1,"Manage, store, and review the information of system identities, and level of access.","1. Is system identity information and levels of access managed, stored, and reviewed?
2. Verify identity proofing and onboarding processes; unique IDs for all users and service accounts.
3. Confirm access provisioning follows least privilege and SoD; approvals and logging are evidenced.
4. Check strong authentication (MFA) for privileged and remote access; review authenticator lifecycle management.
5. Verify periodic access recertifications and timely revocation for leavers and role changes.
6. Review password/secret policies and vaulting for non-human identities.",Identity and access management policy; Provisioning/deprovisioning logs; Periodic access review evidence; MFA configuration and enforcement reports,"Identity & Access
Management",,
IAM-04.1,Employ the separation of duties principle when implementing information system access.,"1. Is the separation of duties principle employed when implementing information system access?
2. Verify identity proofing and onboarding processes; unique IDs for all users and service accounts.
3. Confirm access provisioning follows least privilege and SoD; approvals and logging are evidenced.
4. Check strong authentication (MFA) for privileged and remote access; review authenticator lifecycle management.
5. Verify periodic access recertifications and timely revocation for leavers and role changes.
6. Review password/secret policies and vaulting for non-human identities.",Identity and access management policy; Provisioning/deprovisioning logs; Periodic access review evidence; MFA configuration and enforcement reports,"Identity & Access
Management",,
IAM-05.1,Employ the least privilege principle when implementing information system access.,"1. Is the least privilege principle employed when implementing information system access?
2. Verify identity proofing and onboarding processes; unique IDs for all users and service accounts.
3. Confirm access provisioning follows least privilege and SoD; approvals and logging are evidenced.
4. Check strong authentication (MFA) for privileged and remote access; review authenticator lifecycle management.
5. Verify periodic access recertifications and timely revocation for leavers and role changes.
6. Review password/secret policies and vaulting for non-human identities.",Identity and access management policy; Provisioning/deprovisioning logs; Periodic access review evidence; MFA configuration and enforcement reports,"Identity & Access
Management",,
IAM-06.1,"Define and implement a user access provisioning process which authorizes, records, and communicates access changes to data and assets.","1. Is a user access provisioning process defined and implemented which authorizes, records, and communicates data and assets access changes?
2. Verify identity proofing and onboarding processes; unique IDs for all users and service accounts.
3. Confirm access provisioning follows least privilege and SoD; approvals and logging are evidenced.
4. Check strong authentication (MFA) for privileged and remote access; review authenticator lifecycle management.
5. Verify periodic access recertifications and timely revocation for leavers and role changes.
6. Review password/secret policies and vaulting for non-human identities.",Identity and access management policy; Provisioning/deprovisioning logs; Periodic access review evidence; MFA configuration and enforcement reports,"Identity & Access
Management",,
IAM-07.1,De-provision or respectively modify access of movers / leavers or system identity changes in a timely manner in order to effectively adopt and communicate identity and access management policies.,"1. Is a process in place to de-provision or modify the access, in a timely manner, of movers / leavers or system identity changes, to effectively adopt and communicate identity and access management policies?
2. Verify identity proofing and onboarding processes; unique IDs for all users and service accounts.
3. Confirm access provisioning follows least privilege and SoD; approvals and logging are evidenced.
4. Check strong authentication (MFA) for privileged and remote access; review authenticator lifecycle management.
5. Verify periodic access recertifications and timely revocation for leavers and role changes.
6. Review password/secret policies and vaulting for non-human identities.",Identity and access management policy; Provisioning/deprovisioning logs; Periodic access review evidence; MFA configuration and enforcement reports,"Identity & Access
Management",,
IAM-08.1,Review and validate user access for least privilege and separation of duties with a frequency that is commensurate with organizational risk tolerance.,"1. Are reviews and revalidation of user access for least privilege and separation of duties completed with a frequency commensurate with organizational risk tolerance?
2. Verify identity proofing and onboarding processes; unique IDs for all users and service accounts.
3. Confirm access provisioning follows least privilege and SoD; approvals and logging are evidenced.
4. Check strong authentication (MFA) for privileged and remote access; review authenticator lifecycle management.
5. Verify periodic access recertifications and timely revocation for leavers and role changes.
6. Review password/secret policies and vaulting for non-human identities.",Identity and access management policy; Provisioning/deprovisioning logs; Periodic access review evidence; MFA configuration and enforcement reports; Risk assessment report and treatment plan,"Identity & Access
Management",,
IAM-09.1,"Define, implement and evaluate processes, procedures and technical measures for the segregation of privileged access roles such that administrative access to data, encryption and key management capabilities and logging capabilities are distinct and separated.","1. Are processes, procedures, and technical measures for the segregation of privileged access roles defined, implemented, and evaluated such that administrative data access, encryption, key management capabilities, and logging capabilities are distinct and separate?
2. Verify identity proofing and onboarding processes; unique IDs for all users and service accounts.
3. Confirm access provisioning follows least privilege and SoD; approvals and logging are evidenced.
4. Check strong authentication (MFA) for privileged and remote access; review authenticator lifecycle management.
5. Verify periodic access recertifications and timely revocation for leavers and role changes.
6. Review password/secret policies and vaulting for non-human identities.",Identity and access management policy; Provisioning/deprovisioning logs; Periodic access review evidence; MFA configuration and enforcement reports; Relevant policy/standard document with version history; Encryption/crypto configuration evidence and key lifecycle records,"Identity & Access
Management",,
IAM-10.1,"Define and implement an access process to ensure privileged access roles and rights are granted for a time limited period, and implement procedures to prevent the culmination of segregated privileged access.","1. Is an access process defined and implemented to ensure privileged access roles and rights are granted for a limited period?
2. Verify identity proofing and onboarding processes; unique IDs for all users and service accounts.
3. Confirm access provisioning follows least privilege and SoD; approvals and logging are evidenced.
4. Check strong authentication (MFA) for privileged and remote access; review authenticator lifecycle management.
5. Verify periodic access recertifications and timely revocation for leavers and role changes.
6. Review password/secret policies and vaulting for non-human identities.",Identity and access management policy; Provisioning/deprovisioning logs; Periodic access review evidence; MFA configuration and enforcement reports; Relevant policy/standard document with version history,"Identity & Access
Management",,
IAM-10.2,"Define and implement an access process to ensure privileged access roles and rights are granted for a time limited period, and implement procedures to prevent the culmination of segregated privileged access.","1. Are procedures implemented to prevent the culmination of segregated privileged access?
2. Verify identity proofing and onboarding processes; unique IDs for all users and service accounts.
3. Confirm access provisioning follows least privilege and SoD; approvals and logging are evidenced.
4. Check strong authentication (MFA) for privileged and remote access; review authenticator lifecycle management.
5. Verify periodic access recertifications and timely revocation for leavers and role changes.
6. Review password/secret policies and vaulting for non-human identities.",Identity and access management policy; Provisioning/deprovisioning logs; Periodic access review evidence; MFA configuration and enforcement reports; Relevant policy/standard document with version history,"Identity & Access
Management",,
IAM-11.1,"Define, implement and evaluate processes and procedures for customers to participate, where applicable, in the granting of access for agreed, high risk (as defined by the organizational risk assessment) privileged access roles. 49 © Copyright 2021, Cloud Security Alliance. All rights reserved.","1. Are processes and procedures for customers to participate, where applicable, in granting access for agreed, high risk as (defined by the organizational risk assessment) privileged access roles defined, implemented and evaluated?
2. Verify identity proofing and onboarding processes; unique IDs for all users and service accounts.
3. Confirm access provisioning follows least privilege and SoD; approvals and logging are evidenced.
4. Check strong authentication (MFA) for privileged and remote access; review authenticator lifecycle management.
5. Verify periodic access recertifications and timely revocation for leavers and role changes.
6. Review password/secret policies and vaulting for non-human identities.",Identity and access management policy; Provisioning/deprovisioning logs; Periodic access review evidence; MFA configuration and enforcement reports; Relevant policy/standard document with version history; Risk assessment report and treatment plan,"Identity & Access
Management",,
IAM-12.1,"Define, implement and evaluate processes, procedures and technical measures to ensure the logging infrastructure is read-only for all with write access, including privileged access roles, and that the ability to disable it is controlled through a procedure that ensures the segregation of duties and break glass procedures.","1. Are processes, procedures, and technical measures to ensure the logging infrastructure is ""read-only"" for all with write access (including privileged access roles) defined, implemented, and evaluated?
2. Verify identity proofing and onboarding processes; unique IDs for all users and service accounts.
3. Confirm access provisioning follows least privilege and SoD; approvals and logging are evidenced.
4. Check strong authentication (MFA) for privileged and remote access; review authenticator lifecycle management.
5. Verify periodic access recertifications and timely revocation for leavers and role changes.
6. Review password/secret policies and vaulting for non-human identities.",Identity and access management policy; Provisioning/deprovisioning logs; Periodic access review evidence; MFA configuration and enforcement reports; Relevant policy/standard document with version history,"Identity & Access
Management",,
IAM-12.2,"Define, implement and evaluate processes, procedures and technical measures to ensure the logging infrastructure is read-only for all with write access, including privileged access roles, and that the ability to disable it is controlled through a procedure that ensures the segregation of duties and break glass procedures.","1. Is the ability to disable the ""read-only"" configuration of logging infrastructure controlled through a procedure that ensures the segregation of duties and break glass procedures?
2. Verify identity proofing and onboarding processes; unique IDs for all users and service accounts.
3. Confirm access provisioning follows least privilege and SoD; approvals and logging are evidenced.
4. Check strong authentication (MFA) for privileged and remote access; review authenticator lifecycle management.
5. Verify periodic access recertifications and timely revocation for leavers and role changes.
6. Review password/secret policies and vaulting for non-human identities.",Identity and access management policy; Provisioning/deprovisioning logs; Periodic access review evidence; MFA configuration and enforcement reports; Relevant policy/standard document with version history,"Identity & Access
Management",,
