Reference,Clause,Description,Initial Assessment Points,Evidence/Artifact,Status
A.13.2.2,Agreements on information transfer,"Establish agreements with partners (HIEs, registries, labs, cloud providers) specifying PHI safeguards, breach notification, and audit rights. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Do agreements define technical/organizational safeguards and breach terms? 2. Are sub‑processors disclosed and controlled? 3. Are data location and cross‑border transfers addressed?,,
A.13.2.3,Electronic messaging (clinical communications),"Secure email, secure messaging, paging, and collaboration tools; prohibit unapproved apps for PHI; manage retention consistent with clinical/legal needs. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are approved secure messaging tools mandated for PHI? 2. Are DLP and encryption enforced for email/attachments? 3. Are retention/archiving policies defined and implemented?,"Encryption Procedures, Key Management Records",
A.13.2.4,Confidentiality or non‑disclosure agreements,"Use NDAs and confidentiality clauses for employees, contractors, students, and vendors handling PHI, with sanctions for violations. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are NDAs/confidentiality obligations in place and acknowledged before access? 2. Are terms aligned with privacy laws and contracts? 3. Are violations sanctioned and tracked?,"Access Control Matrix, SOPs, Audit Logs; Vendor Risk Assessment Reports, Data Sharing Agreements",
A.14.1.1,Information security requirements analysis and specification (clinical),"Identify and document security requirements for clinical systems and integrations (EHR, PACS, LIS, HIE, telemedicine, devices) including PHI protection, integrity, availability, and safety considerations. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are security requirements captured for each clinical use case and interface (HL7/FHIR/DICOM)? 2. Do requirements reflect privacy, safety, and service continuity needs? 3. Are requirements traceable through design, testing, and acceptance?","BCP/DR Plan, Recovery Test Reports",
A.14.1.2,Securing application services on public networks,"Protect clinical application services exposed over public networks (patient portals, telemedicine) with encryption, strong authentication, and secure session management. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are public-facing clinical services protected with TLS, MFA, and hardening? 2. Are session handling, cookie flags, and CSRF controls implemented? 3. Are external dependencies (CDNs, IdPs) risk assessed?","Risk Assessment Reports, Risk Treatment Plan, Compliance Register; Encryption Procedures, Key Management Records",
A.14.1.3,Protecting application service transactions,"Ensure confidentiality, integrity, non-repudiation, and availability for clinical transactions (orders, results, e-prescribing, images). The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are transaction integrity checks and message signing used for critical flows? 2. Are audit trails linked to patient context and clinician identity? 3. Are failures handled with safe retries and reconciliation procedures?,,
A.14.2.1,Secure development policy (healthcare),"Define secure coding, threat modeling, and clinical safety validation requirements across in-house and vendor-developed clinical software. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Is a secure development policy approved and adopted by dev and clinical teams? 2. Are clinical threats (misidentification, wrong-patient errors) addressed in design? 3. Is compliance with OWASP, secure coding, and 27799 guidance monitored?","Information Security Policy, Privacy Policy, Health IS Charter; Vendor Risk Assessment Reports, Data Sharing Agreements",
A.14.2.2,System change control procedures,"Apply formal change control including impact assessments for patient safety and downtime; ensure approvals and rollback plans. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are change risks assessed for clinical impact with approvals recorded? 2. Are backout/validation plans defined and tested? 3. Are emergency changes documented and post‑reviewed?,"Risk Assessment Reports, Risk Treatment Plan, Compliance Register",
A.14.2.3,Technical review of applications after operating platform changes,"Reassess clinical applications when platform components change (OS, DB, runtime); validate critical workflows and integrations. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are regression tests triggered after platform changes? 2. Are clinical workflows validated with clinicians for safety? 3. Are interface compatibilities (HL7/FHIR/DICOM) re‑verified?,,
A.14.2.4,Restrictions on changes to software packages,"Avoid unauthorized customization of vendor packages; use vendor‑supported configuration; manage deviations with risk and upgrade strategy. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are customizations catalogued with rationale and risk? 2. Are vendor support impacts assessed before custom changes? 3. Are upgrade paths tested for customized components?,"Risk Assessment Reports, Risk Treatment Plan, Compliance Register; Vendor Risk Assessment Reports, Data Sharing Agreements",
A.14.2.5,Secure system engineering principles,"Adopt and document secure design principles (least privilege, fail‑safe defaults, defense in depth) and apply to clinical architectures. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are secure design principles documented and referenced in designs? 2. Are threat models maintained for clinical architectures and devices? 3. Are reviews performed by security and clinical safety experts?,,
A.14.2.6,Secure development environment,"Provide controlled environments for development/testing including access control, isolation, data protection, and toolchain security. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are dev/test environments isolated from production with restricted access? 2. Is PHI in non‑prod prohibited or de‑identified with approvals? 3. Are build pipelines secured and code‑signing enforced?,"Access Control Matrix, SOPs, Audit Logs",
A.14.2.7,Outsourced development,"Manage security in outsourced/partner development with contractual controls, secure coding, IP protection, and audit rights. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Do contracts mandate secure development practices and code review rights? 2. Are supplier environments assessed for access and data protection? 3. Is SBOM/third‑party component risk managed?,"Risk Assessment Reports, Risk Treatment Plan, Compliance Register; Access Control Matrix, SOPs, Audit Logs",
A.14.2.8,System security testing,"Perform security testing (SAST/DAST, penetration tests) and clinical misuse testing; remediate findings before go‑live. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are code and application security tests performed at defined stages? 2. Are device and interface security tests included? 3. Are critical findings remediated or risk‑accepted by accountable owners?,"Risk Assessment Reports, Risk Treatment Plan, Compliance Register",
A.14.2.9,System acceptance testing,"Define acceptance criteria including security, privacy, and clinical safety; require sign‑off from security and clinical leadership. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are acceptance criteria inclusive of security/privacy and clinical safety? 2. Is formal sign‑off captured from security, privacy, and clinical owners? 3. Are post‑go‑live validations scheduled and completed?",,
A.14.3.1,Protection of test data,"Protect test data, avoid using live PHI; if necessary, de‑identify/minimize with approvals and controls; secure disposal after use. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Is use of live PHI in test prohibited or tightly controlled with approvals? 2. Are de‑identification/masking methods defined and validated? 3. Is test data lifecycle (provisioning/disposal) controlled and logged?,,
A.14.3.2,Use of test data,"Ensure test data reflect realistic scenarios without exposing PHI; maintain consent/ethics where data originate from clinical sources. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are synthetic or masked datasets used for testing? 2. Are consents/IRB requirements respected for research‑derived data? 3. Are access rights and logging applied in non‑prod environments?,"Access Control Matrix, SOPs, Audit Logs",
A.15.1.1,Information security policy for supplier relationships (healthcare),"Define policy and governance for suppliers handling PHI or operating clinical services (EHR vendors, HIEs, labs, cloud providers). The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are supplier categories defined with controls by risk and PHI sensitivity? 2. Are onboarding due diligence and ongoing monitoring requirements established? 3. Are exit/transition plans defined to secure PHI and continuity?,"Information Security Policy, Privacy Policy, Health IS Charter; Risk Assessment Reports, Risk Treatment Plan, Compliance Register; Vendor Risk Assessment Reports, Data Sharing Agreements; BCP/DR Plan, Recovery Test Reports",
A.15.1.2,Addressing security within supplier agreements,"Include PHI safeguards, breach notification, audit rights, data location, sub‑processor disclosure, and service levels in contracts. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Do contracts/BAA‑like clauses cover PHI handling, breach timelines, and audits? 2. Are data residency and cross‑border transfers controlled? 3. Are right‑to‑audit and remediation SLAs enforceable?",,
A.15.1.3,Information and communication technology supply chain,"Manage risks across ICT supply chains including firmware, software components, and device suppliers; require vulnerability disclosure and patch processes. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are SBOMs and vulnerability notifications required from suppliers? 2. Are device/firmware updates authenticated and timely? 3. Are counterfeit/tampered components risks addressed?,"Risk Assessment Reports, Risk Treatment Plan, Compliance Register",
A.15.2.1,Monitoring and review of supplier services,"Monitor supplier performance and security posture; review reports, attestations, penetration results, and incident metrics. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are periodic reviews/audits conducted with evidence retained? 2. Are KPIs/KRIs for PHI protection tracked? 3. Are corrective actions managed to closure?,"Incident Response Plan, Incident Logs, Regulator Notifications",
A.15.2.2,Managing changes to supplier services,"Assess and approve supplier service changes for impact on PHI protection, availability, and integration; update agreements if needed. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are supplier changes risk‑assessed and approved before implementation? 2. Are data flows, encryption, and logging impacts evaluated? 3. Are agreements/amendments updated to reflect changes?","Risk Assessment Reports, Risk Treatment Plan, Compliance Register; Encryption Procedures, Key Management Records",
A.16.1.1,Responsibilities and procedures (PHI incidents),"Establish procedures and roles for PHI incident detection, triage, escalation, containment, investigation, and notification. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are PHI incident playbooks defined with clear roles and thresholds? 2. Is there 24×7 detection/response coverage with clinical coordination? 3. Are incident metrics and trends reported to governance?,"RACI Matrix, Roles & Responsibilities Document; Incident Response Plan, Incident Logs, Regulator Notifications",
A.16.1.2,Reporting information security events,"Enable prompt reporting of suspected PHI events by clinicians, staff, and patients; provide easy channels and non‑retaliation messaging. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are reporting channels clear and available (hotline, portal)? 2. Are staff trained to identify and report PHI events? 3. Are reports tracked with timely triage?",,
A.16.1.3,Reporting information security weaknesses,"Encourage reporting of weaknesses (misdirected emails, misconfigurations) without fear of reprisal; track to remediation. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Is a weakness reporting mechanism in place and advertised? 2. Are reported weaknesses triaged and remediated? 3. Are feedback and learning loops established?,,
A.16.1.4,Assessment of and decision on information security events,"Define criteria to distinguish events vs. incidents in healthcare context; consider privacy harm and patient safety impacts. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are classification criteria defined and applied consistently? 2. Are privacy/safety impacts assessed during triage? 3. Are escalation paths documented and tested?,"Incident Response Plan, Incident Logs, Regulator Notifications",
A.16.1.5,Response to information security incidents,"Coordinate technical, clinical, privacy, and legal response; contain, eradicate, and recover while maintaining continuity of care. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are containment/eradication steps tailored to clinical systems and devices? 2. Are downtime procedures activated when necessary? 3. Are forensics and evidence handling documented?,"BCP/DR Plan, Recovery Test Reports",
A.16.1.6,Learning from information security incidents,"Conduct post‑incident reviews; capture lessons learned; update controls, training, and procedures to prevent recurrence. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are RCAs conducted with corrective actions tracked? 2. Are policy/training updates implemented post‑incident? 3. Are metrics used to measure improvements?,"Information Security Policy, Privacy Policy, Health IS Charter; Incident Response Plan, Incident Logs, Regulator Notifications",
A.16.1.7,Collection of evidence,"Collect and preserve digital evidence in a forensically sound manner respecting patient privacy and legal requirements. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are evidence handling procedures defined and followed? 2. Are chain‑of‑custody records maintained? 3. Are staff trained on legal/forensic constraints in healthcare?,,
A.17.1.1,Planning information security continuity (clinical continuity),"Plan information security continuity integrated with clinical/business continuity to sustain safe care during disruptions (cyber incidents, outages, disasters). Define RTO/RPO aligned to patient safety. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are RTO/RPO targets defined for EHR, PACS, LIS, and critical interfaces based on patient safety? 2. Are fallback procedures (read‑only EHR, paper charts, downtime kits) documented? 3. Are clinical communications (on‑call, paging) included in continuity plans?","Incident Response Plan, Incident Logs, Regulator Notifications; BCP/DR Plan, Recovery Test Reports",
A.17.1.2,Implementing information security continuity,"Implement controls to maintain confidentiality, integrity, and availability of PHI during continuity events, including secure downtime modes and alternate sites. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are secure read‑only and downtime modes implemented and tested? 2. Are alternate access methods (portal, VDI, local cache) secured and audited? 3. Are BIA/BCP actions implemented across sites and departments?","Access Control Matrix, SOPs, Audit Logs; BCP/DR Plan, Recovery Test Reports",
A.17.1.3,"Verify, review and evaluate information security continuity","Test and review continuity capabilities with clinical participation; address findings; maintain evidence of exercises and improvements. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are joint IT‑clinical exercises conducted at planned intervals? 2. Are test results reviewed with corrective actions tracked? 3. Are lessons learned reflected in procedures and training?,"BCP/DR Plan, Recovery Test Reports",
A.17.2.1,Availability of information processing facilities (redundancies),"Provide redundancy for critical clinical systems, networks, and power to meet availability targets; monitor failover mechanisms. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are HA/cluster and DR designs in place for clinical systems? 2. Are redundant network paths and power (UPS/generator) implemented and tested? 3. Are failover events monitored with time‑to‑restore metrics?,,
A.18.1.1,Identification of applicable legislation and contractual requirements (health),"Identify and maintain a register of applicable health privacy, security, medical device, records, and data‑sharing laws/regulations and contractual obligations. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Is a current legal/contractual register maintained covering health privacy, medical device, and records laws? 2. Are obligations mapped to controls and procedures? 3. Are ownership and review cadence defined?",,
A.18.1.2,Intellectual property rights,"Protect intellectual property related to clinical software, content, research data, and licensed materials; ensure compliant use and attribution. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are licenses inventoried and usage compliant (software, knowledge bases, terminologies)? 2. Are IP rights for research/clinical content governed in contracts? 3. Are staff trained on copyright and licensing obligations?",,
A.18.1.3,Protection of records (clinical/PHI records),"Protect clinical and administrative records (including electronic and imaging) against loss, tampering, and unauthorized access; define retention and secure disposal. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are retention schedules defined per legal/clinical requirements? 2. Are records protected with access controls, integrity checks, and backups? 3. Is secure disposal documented and evidenced?","Access Control Matrix, SOPs, Audit Logs",
A.18.1.4,Privacy and protection of personally identifiable information (PII/PHI),"Establish privacy governance for PHI/PII: lawful basis, consent, minimum necessary, data subject rights, breach handling, and cross‑border transfers. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are lawful bases/consent managed and evidenced for PHI processing? 2. Are subject rights (access, rectification, restriction) operationalized? 3. Are cross‑border transfers assessed with safeguards documented?","Access Control Matrix, SOPs, Audit Logs",
A.18.1.5,Regulation of cryptographic controls,"Comply with laws/regulations on use and export of cryptography and key lengths; document approved algorithms and key management practices. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are approved algorithms/key lengths defined and compliant? 2. Are export/import restrictions tracked for relevant jurisdictions? 3. Are crypto modules validated where required?,,
A.18.2.1,Independent review of information security,"Arrange independent reviews of the information security program and PHI controls at planned intervals or after significant changes/incidents. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are periodic independent reviews/audits scheduled and completed? 2. Are scopes inclusive of clinical systems, devices, and data flows? 3. Are findings tracked to remediation with owners and due dates?","Incident Response Plan, Incident Logs, Regulator Notifications",
A.18.2.2,Compliance with security policies and standards,"Ensure regular internal reviews of compliance with policies, standards, SOPs, and technical configurations across clinical environments. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).",1. Are internal compliance assessments performed with evidence retained? 2. Are exceptions documented with risk acceptance and compensating controls? 3. Are configuration baselines monitored for drift?,"Risk Assessment Reports, Risk Treatment Plan, Compliance Register",
A.18.2.3,Technical compliance review,"Conduct technical compliance checks (config audits, vulnerability scans, bench‑marking) without disrupting patient care. The description should explicitly connect the control to healthcare contexts under ISO 27799:2016, showing how ISO/IEC 27002 practices are adapted to protect patient data, clinical operations, and public health needs. Clarify the intent (why it matters), the expected activities (policies, technical safeguards, and governance), and measurable outcomes (evidence of implementation, monitoring, and continual improvement). Note dependencies with related controls and any healthcare-specific risks (e.g., clinical workflow disruption, data quality, safety).","1. Are technical reviews scheduled with safeguards to avoid clinical impact? 2. Are benchmarks (e.g., CIS) adapted for clinical systems/devices? 3. Are deviations tracked with risk‑based remediation?","Risk Assessment Reports, Risk Treatment Plan, Compliance Register",
