Clause,Reference,Description,Initial Assessment Points,Evidence/Artifact,Findings,Status
CHAPTER IX THE NATIONAL SUPERVISORY AUTHORITY (“ANPD”) AND NATIONAL PERSONAL,Article 55,". The National Supervisory Authority (“ANPD”) is hereby created as a member of the indirect federal public administration, subject to the special agency regime and related to the Ministry of Justice. Paragraph 1 The ANPD shall be governed by the provisions established in Law No. 9.986 of July 18, 2000. Paragraph 2 The ANPD shall be composed of the Board of Directors, as the highest body, and by the National Personal Data and Privacy Protection Council, in addition to the specialized units for application of this Law. Paragraph 3 The nature of special agency granted to the ANPD is characterized by administrative independence, absence of hierarchical subordination, fixed term of office, and stability of its leaders and financial autonomy. Paragraph 4 The ANPD bylaws and organizational structure shall be approved by decree of the President of the Republic. Paragraph 5 The Board Of Directors shall be composed of three (3) directors and resolved by a majority. Paragraph 6 The term of office of members of the Board of Directors shall be four (4) years. Paragraph 7 The terms of office of the first members of the Board of Directors shall be three (3), four (4) and five (5) years, to be established in the appointment decree. Paragraph 8 Any former director shall be forbidden from using privileged information obtained in connection with the position held, subject to penalty of committing administrative improbity.",Are there mechanisms in place to address administrative sanctions and penalties described in Article 55?,"Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER IX THE NATIONAL SUPERVISORY AUTHORITY (“ANPD”) AND NATIONAL PERSONAL,Article 56,". The ANPD shall have the following duties: I – guarantee the protection of the personal data, under the law; II – ensure compliance with the trade and industrial secrets when considering the protection of personal data and confidentiality of the information when protected by law or where the breach of confidentiality violates the principles established in article 2 of this Law; III – prepare guidelines for the National Personal Data and Privacy Protection Policy; IV – inspect and impose penalties in case of data processing carried out in violation of the law, by means of an administrative proceeding that guarantees the right to adversary proceeding, broad defense and right of appeal; V – respond to petitions of any data subject against the controller; VI – promote in the community information on the public rules and policies on personal data protection and security measures; VII – conduct studies on national and international personal data and privacy protection practices; VIII – encourage the adoption of standards for services and products that enable the control by the data subjects of their personal data, taking into account the specificities of the activities and the size of the parties in charge; IX – carry out cooperation actions with personal data protection authorities of other countries, of an international or transnational nature; X – provide for the forms of disclosure of the personal data processing operations, with due regard for compliance with trade and industrial secrets; XI – request to the entities of the Public Sector carrying out personal data processing, at any time, specific information on the scope and nature of the data and other details on the processing performed, which the possibility of issue of a supplementary technical expert opinion to ensure compliance with this Law; XII – prepare annual management reports about its activities; XIII – issue regulations and procedures on personal data and privacy protection, and on data protection impact assessment for those cases where the processing poses a high risk to the guarantee of the general principles of personal data protection established in this Law; XIV – consult the processing agents and the society in matters of relevant interest, and provide accounts of its activities and planning; XV – collect and apply its revenues and disclose its revenues and expenses in details in the management report referred to in item XII of the main provision of this article; and XVI – conduct or determine the conduction of audits, within the scope of the inspection activity, about the personal data processing carried out by the processing agents, including the Public Sector. Paragraph 1 By imposing administrative conditions to personal data processing by a private processing agent, whether they are limits, charges or subjections, the ANPD shall comply with the requirement of minimum intervention, with guarantee of the fundaments, principles and rights of the data subjects established in article 170 of the Federal Constitution and in this Law. Paragraph 2 The regulations and rules enacted by the ANPD shall be necessarily preceded by public inquiry and hearing, and from regulatory impact analyses.","Are data subjects fully able to exercise their rights (access, correction, deletion, portability) as specified in Article 56?","Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Data Processing Agreements (DPAs) / operator contracts ; Joint controllership arrangements (if applicable) ; Processor register & risk assessments ; Operator oversight/monitoring records ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; DPIA reports and approvals ; Risk register entries linked to processing activities ; Mitigation action plans and status tracking ; Incident response plan ; Incident/breach log and root cause analyses ; Authority/data subject notification templates ; Post-incident corrective actions evidence ; Annual LGPD training materials + attendance logs ; Internal audit plan & reports ; Control testing evidence ; Management review/minutes ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER IX THE NATIONAL SUPERVISORY AUTHORITY (“ANPD”) AND NATIONAL PERSONAL,Article 57,". The following are revenues of the ANPD: I – the proceeds of execution of its executable tax debt; II – the allocations established in the general budget of the Federal Government, any special credits, additional credits, transfers and onlending granted to it; III – any donations, legacies, subventions and any other funds assigned to it; IV – any amounts obtained from the sale or lease of any assets and real estate properties owned by it; V – the amounts obtained from investments of the revenues set forth in this article in the financial market; VI – the proceeds of the collection of fees for services provided; VII – the funds arising out of contracts, conventions or agreements entered into with national or international public or private entities, organizations or companies; VIII – the proceeds of the sale of publications, technical material, data and information, including for purposes of public bidding process. Section II National Personal Data and Privacy Protection Council",Are international data transfers carried out in compliance with safeguards and conditions defined in Article 57?,"Public-facing Privacy Notice (current and previous versions) ; Notice-of-collection at point of data capture (screenshots) ; Change logs & versioning records of notices ; Multichannel notice availability evidence (web, mobile, paper) ; Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER IX THE NATIONAL SUPERVISORY AUTHORITY (“ANPD”) AND NATIONAL PERSONAL,Article 58,". The National Personal Data and Privacy Protection Council shall be composed of twenty- three (23) permanent representatives and their alternate members, of the following bodies: I – six (6) representatives of the federal Executive Branch; II – one (1) representative designated by the Federal Senate; III – one (1) representative designated by the Congress; IV – one (1) representative designated by the National Justice Council; V – one (1) representative designated by the National Council of the Public Prosecutors’ Office; VI – one (1) representative designated by the Internet Management Committee in Brazil; VII – four (4) representatives of the civil society with proven actions in personal data protection; VIII – four (4) representatives of a scientific, technological and innovation institution; and IX – four (4) representatives of an entity that represents the business sector related to the personal data processing area. Paragraph 1 The representatives shall be designated by an act of the President of the Republic, with permission for delegation, and term of office of two (2) years, one (1) reelection permitted. Paragraph 2 The participation in the National Personal Data and Privacy Protection Council shall be deemed an activity of relevant public interest and shall not be remunerated. Paragraph 3 The representatives referred to in items I to VI of the main provision of this article and their alternate members shall be indicated by the incumbents of the respective bodies and entities. Paragraph 4 The representatives referred to in items VII, VIII and IX of the main provision of this article and their alternate members shall be indicated as provided for in the regulations, and shall not be members of the entity referred to in item VI of the main provision of this article.",Does the organization meet the specific compliance requirements described in Article 58?,"Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER X FINAL AND TRANSITIONAL PROVISIONS,Article 59,. It is incumbent upon the National Personal Data and Privacy Protection Council: I – to recommend strategic guidelines and provide aids for preparation of the National Personal Data and Privacy Protection Policy and for the actions of the ANPD; II – to prepare annual assessment reports of performance of the actions of the National Personal Data and Privacy Protection Policy; III – to recommend actions to be carried out by the ANPD; IV – to conduct studies and discussions on personal data and privacy protection; and V – to disseminate knowledge on personal data and privacy protection to the population in general. FINAL AND TRANSITIONAL PROVISIONS,Does the organization comply with the supervisory authority’s requirements and cooperate as outlined in Article 59?,"Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER X FINAL AND TRANSITIONAL PROVISIONS,Article 60,". Law No. 12.965 of April 23, 2014 (Brazilian Civil Rights Framework for the Internet) shall be hereinafter in effect with the following amendments: “Article 7 ... X – definite exclusion of the personal data supplied to a given internet application, at its request, upon expiration of the relationship between the parties, except for the cases of mandatory storage of records provided for by this Law and by the law that provides for personal data protection; ...” (Regulatory Rule) “Article 16... II – of personal data that are excessive in relation to the purpose for which consent was given by the data subject thereof, except for the cases provided for by the Law that provides for personal data protection.” (Regulatory Rule)",Does the organization obtain and manage consent appropriately as required under Article 60?,"Consent capture screens/forms (UI screenshots or form templates) ; Consent logs (timestamp, purpose, version, data subject ID) ; Consent withdrawal workflow + logs ; Privacy notice versions linked to consent collection points ; Legal basis register per purpose (matrix) ; Legitimate Interest Assessment (where applicable) ; Contractual clauses supporting 'contract' basis ; Regulatory obligation references (for 'legal obligation' basis) ; Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; Data retention schedule (by purpose/system) ; Automated deletion job configs & logs ; Secure disposal certificates (where applicable) ; Legal hold procedure ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER X FINAL AND TRANSITIONAL PROVISIONS,Article 61,". The foreign company shall be notified of and summoned in relation to all procedural acts established in this Law, regardless of power of attorney or contractual or statutory provision, by means of its agent or representative or person in charge of its branch, agency, subsidiary, establishment or office installed in Brazil.",Are international data transfers carried out in compliance with safeguards and conditions defined in Article 61?,Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports ; DPO appointment letter & contact publication ; DPO responsibilities charter ; Reports/escalations to management ; Independence & conflict-of-interest statement,,
CHAPTER X FINAL AND TRANSITIONAL PROVISIONS,Article 62,". The supervisory authority and Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira (INEP), as part of its duties, shall enact specific regulations for access to data treated by the Federal Government for compliance with the provisions in paragraph 2 of article 9 of Law No. 9.394 of December 20, 1996 (National Education Bases and Guidelines Law), and the provisions relating to the National Higher Education Evaluation System (Sinaes) referred to by Law No. 10.861 of April 14, 2004.","Is personal data processing by public authorities limited to lawful, necessary, and transparent purposes under Article 62?","Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; DSAR SOP (end-to-end workflow) ; DSAR register/log with timestamps & outcomes ; Identity verification procedure for DSARs ; Response templates and SLA reports ; Automated decision inventory & explainability summaries ; Human-in-the-loop review procedure ; Model risk assessment (bias, fairness) ; Opt-out / contest mechanism records",,
CHAPTER X FINAL AND TRANSITIONAL PROVISIONS,Article 63,". The supervisory authority shall establish rules for progressive adequacy of databases created by the date of effectiveness of this Law, considering the complexity of the processing operations and the data nature.",Does the organization comply with the supervisory authority’s requirements and cooperate as outlined in Article 63?,Purpose-to-processing mapping ; Data minimization checklist for each purpose ; Access control matrices (RBAC/ABAC) ; Cross-border transfer register ; Transfer mechanism (SCCs/adequacy/ANPD clauses) ; Transfer impact assessment (TIA) ; Contractual safeguards and onward transfer controls,,
CHAPTER X FINAL AND TRANSITIONAL PROVISIONS,Article 64,. The rights and principles expressed in this Law do not exclude any other rights and principles established in the Brazilian legal system concerning the matter or in the international treaties to which the Federative Republic of Brazil is a party.,Are international data transfers carried out in compliance with safeguards and conditions defined in Article 64?,Information Security controls inventory (ISO 27001/27002 mapping) ; Encryption/Key management SOP + key logs ; Access control policy and RBAC matrix ; Backup/DR test reports,,
CHAPTER X FINAL AND TRANSITIONAL PROVISIONS,Article 65,". This Law comes into force after eighteen (18) months as from its official publication. Brasília, August 14, 2018. Officially Published, August 15, 2018.",Does the organization meet the specific compliance requirements described in Article 65?,Policy/Procedure relevant to the Article ; Process flow / SOP ; Sample records/logs demonstrating control operation ; Responsible owner & approval records,,
